INFO 2025-03-13 14:31:05,553 autoreload C:\Users\tefba\Desktop\OverBrand\EventEz\backend\EventEzBackend\config\settings.py changed, reloading.
INFO 2025-03-13 14:31:06,202 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:31:14,485 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:32:23,785 autoreload Watching for file changes with StatReloader
INFO 2025-03-13 14:32:34,185 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:32:42,531 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:32:43,588 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:32:49,705 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:33:07,981 basehttp "POST /admin/logout/ HTTP/1.1" 200 3632
INFO 2025-03-13 14:33:09,911 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:33:09,927 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4237
INFO 2025-03-13 14:33:09,952 basehttp "GET /static/admin/css/login.css HTTP/1.1" 304 0
INFO 2025-03-13 14:33:14,654 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:33:14,735 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:33:25,942 basehttp "GET /admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:33:25,957 basehttp "GET /admin/login/?next=/admin/ HTTP/1.1" 200 4237
INFO 2025-03-13 14:33:26,170 basehttp "GET /static/admin/css/base.css HTTP/1.1" 200 22092
INFO 2025-03-13 14:33:26,188 basehttp "GET /static/admin/css/responsive.css HTTP/1.1" 200 17972
INFO 2025-03-13 14:33:26,191 basehttp "GET /static/admin/css/nav_sidebar.css HTTP/1.1" 200 2810
INFO 2025-03-13 14:33:26,194 basehttp "GET /static/admin/css/login.css HTTP/1.1" 200 951
INFO 2025-03-13 14:33:26,197 basehttp "GET /static/admin/css/dark_mode.css HTTP/1.1" 200 2804
INFO 2025-03-13 14:33:26,197 basehttp "GET /static/admin/js/theme.js HTTP/1.1" 200 1653
INFO 2025-03-13 14:33:26,200 basehttp "GET /static/admin/js/nav_sidebar.js HTTP/1.1" 200 3063
INFO 2025-03-13 14:33:31,292 basehttp "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2025-03-13 14:33:31,378 basehttp "GET /admin/ HTTP/1.1" 200 20231
INFO 2025-03-13 14:33:31,392 basehttp "GET /static/admin/css/dashboard.css HTTP/1.1" 200 441
INFO 2025-03-13 14:33:31,397 basehttp "GET /static/admin/img/icon-addlink.svg HTTP/1.1" 200 331
